requete,rang,objet,montant,region,pertinent
cybersecurite,1,"Accord Cadre de Prestations d’Assistance Technique Cyber sécurité et continuité d’activité
",10978000.0,Île-de-France,1
cybersecurite,2,"FOURNITURE ET INTEGRATION DE SOLUTIONS DE SECURITE, SERVICES MANAGES, ACCOMPAGNEMENT TECHNIQUE ET AUDIT DE SECURITE",1200000000.0,Île-de-France,1
cybersecurite,3,SECURITE DES SYSTEMES D INFORMATION,150000000.0,Île-de-France,1
cybersecurite,4,"RESAH LOT 1 : FOURNITURE ET INTEGRATION DE SOLUTIONS DE SECURITE, SERVICES MANAGES, ACCOMPAGNEMENT TECHNIQUE, AUDIT DE SECURITE",1200000000.0,Île-de-France,1
cybersecurite,5,AMO SECURITE DES SYSTEMES D INFORMATION,10000000.0,Île-de-France,1
cybersecurite,6,"Fourniture de prestations relatives à l’urbanisation, à l’architecture applicative et la sécurité du SI de la DGFIP - Réalisation d’analyses de risques d’applications et d’audits de sécurité du code.",7800000.0,Île-de-France,1
cybersecurite,7,TRAVAUX MISE SECURITE CARRIERE ARNAUDET,4335955.0,Île-de-France,0
cybersecurite,8,Système d’acquisition dynamique (S.A.D.) destiné à la passation de marchés spécifiques de mise à disposition de produits pétroliers ou de pétrole brut. Les marchés spécifiques ont pour objet de déterminer les droits et obligations du CPSSP et de l’opérate,10000000.0,Île-de-France,0
cybersecurite,9,LOT 2 - SOLUTIONS INTELLIGENTES DE SURETE ET DE SECURITE DANS L’ESPACE PUBLIC - GPMT SIPPNCO (2022006),9999999.0,Île-de-France,0
cybersecurite,10,INFRASTRUCTURES NUMERIQUES LOT N°2 SECURITE DES SYSTEMES D’INFORMATION,10000000.0,Île-de-France,1
cybersecurite,11,INFRASTRUCTURES NUMERIQUES LOT2 SECURITE DES SYSTEMES D’INFORMATION,150000000.0,Île-de-France,1
cybersecurite,12,Travaux d’installation de systèmes numériques de sécurité dans les bâtiments départementaux et prestations complémentaires - Secteur Ouest,4000000.0,Île-de-France,0
cybersecurite,13,LOT 2 INFRASTRUCTURES NUMERIQUES AMO INFRASTRUSCTURES NUMERIQUES SECURITES DES SYSTEMES D’INFORMATIONS TELEPHONIE ET INTERNET RESEAUX ET SOLUTIONS INTELLIGENTES DE SECURITE ET DE SURETE,5400000.0,Île-de-France,1
cybersecurite,14,Lot 2 - Missions de Maîtrise d’oeuvre de conception et d’exécution (Accord-cadre à marchés subséquents),7000000.0,Île-de-France,0
cybersecurite,15,Fourniture et maintenance de solutions de sécurité et prestations annexes (PAS4) - PAS–ACQUISITIONS,8333333.33,Île-de-France,0
cybersecurite,16,Accord cadre à marchés subséquents pour la fourniture et l’acheminement de l’électricité et services associés pour les sites d’Erigère (relance),5200000.0,Île-de-France,0
cybersecurite,17,"Fourniture, installation et maintenance des dispositifs de sûreté / sécurité urbaines",200000000.0,Île-de-France,0
cybersecurite,18,"MOB-2022-0686 - PHASE OFFRE - Accord-Cadre à marchés subséquents pour des prestations d’études, de conseil et d’assistance technique relatives au secteur de la mobilité et des transports urbains et périurbains",20000000.0,Île-de-France,0
cybersecurite,19,"Le présent marché a pour objet de confier au titulaire :
-	D’une part, une mission d’assistance (commercialisation) à la recherche d’acquéreurs potentiels des actifs immobiliers tels que définis à l’article 1 du présent C.C.P et à les mettre en relation avec l’AP-HP puis potentiellement avec ses co-indivisaires, en vue de la cession de l’actif ciblé.
La mission du titulaire du marché couvre toutes les opérations entrant dans le cadre habituel d’un mandat de commercialisation, à l’exclusion de la conclusion de la promesse de vente et de l’acte authentique de vente obligatoirement formalisés par le notaire de l’AP-HP.
-	D’autre part, des missions complémentaires ponctuelles rendues nécessaires par certaines opérations de valorisation. 
",3750000.0,Île-de-France,0
cybersecurite,20,25AC14 SERVICES DE COMMUNICATION A DISTANCE POUR L’ACCUEIL PHYSIQUE ET TELEPHONIQUE DES USAGERS DEFICIENTS AUDITIFS DES ORGANISMES DE SECURITE SOCIALE,7610000.0,Île-de-France,0
travaux_voirie,1,Travaux de voirie pour la COMUE,1750000.0,Occitanie,1
travaux_voirie,2,Exécution de divers travaux de voirie,44000.0,Occitanie,1
travaux_voirie,3,Travaux de voirie quartier des pentes,292958.4,Normandie,1
travaux_voirie,4,TRAVAUX D’AMENAGEMENT DE VOIRIE,2400000.0,Occitanie,1
travaux_voirie,5,�limination des d�chets de voirie,200000.0,Île-de-France,1
travaux_voirie,6,"TRAVAUX DE VOIRIE, DE SIGNALISATION ET DE CLOTURES ",6000000.0,Île-de-France,1
travaux_voirie,7,VOIRIE ET ASSAINISSEMENT,872061.1,Auvergne-Rhône-Alpes,1
travaux_voirie,8,"TRAVAUX DE MODERNISATION ET D’AMÉNAGEMENTS DE SÉCURITÉ DE VOIRIE : Réalisation d’aménagement de parkings, de voirie, de trottoirs, de voies piétonnes, de purges de chaussée.",351376.2,Bretagne,1
travaux_voirie,9,Couverture - bardage - Etanchéité,622718.0,Hauts-de-France,0
travaux_voirie,10,TRAVAUX DE REPROFILAGE DE CHAUSSEE EN TRAITEMENT EN PLACE RD195,148665.0,Grand Est,1
travaux_voirie,11,TRAVAUX d’entretien et d’amélioration de la voirie sur le territoire de 4 communes membres du groupement de commande. Lot 4: Mise en œuvre d’enrobés sur chaussée,2000000.0,Pays de la Loire,1
travaux_voirie,12,TRAVAUX D’AMENAGEMENT DE VOIRIE ET DE RESEAUX DIVERS,11081022.49,Provence-Alpes-Côte d'Azur,1
travaux_voirie,13,Maitrise d’Oeuvre,159622.8,Centre-Val de Loire,0
travaux_voirie,14,TRAVAUX DE VOIRIE,3447000.0,Pays de la Loire,1
