requete;rang;objet;montant;region;pertinent
cybersecurite;1;SECURITE DES SYSTEMES D INFORMATION;150000000.0;Île-de-France;1
cybersecurite;2;LOT 2 - SOLUTIONS INTELLIGENTES DE SURETE ET DE SECURITE DANS L'ESPACE PUBLIC - GPMT SIPPNCO (2022006);9999999.0;Île-de-France;0
cybersecurite;3;Système d'acquisition dynamique (S.A.D.) destiné à la passation de marchés spécifiques de mise à disposition de produits pétroliers ou de pétrole brut. Les marchés spécifiques ont pour objet de déterminer les droits et obligations du CPSSP et de l'opérate;10000000.0;Île-de-France;0
cybersecurite;4;Fourniture et maintenance de solutions de sécurité et prestations annexes (PAS4) - PAS-ACQUISITIONS;8333333.33;Île-de-France;0
cybersecurite;5;Lot 2 - Missions de Maîtrise d'oeuvre de conception et d'exécution (Accord-cadre à marchés subséquents);7000000.0;Île-de-France;0
cybersecurite;6;Fourniture, installation et maintenance des dispositifs de sûreté / sécurité urbaines;20000000.0;Île-de-France;0
cybersecurite;7;MOB-2022-0686 - PHASE OFFRE - Accord-Cadre à marchés subséquents pour des prestations d'études, de conseil et d'assistance technique relatives au secteur de la mobilité et des transports urbains et périurbains;20000000.0;Île-de-France;0
cybersecurite;8;Le présent accord-cadre a pour objet des prestations de services de sécurité incendie, de sureté et de gardiennage des expositions au profit du Palais de Tokyo.;6000000.0;Île-de-France;0
travaux_voirie;1;Travaux de voirie;2000000.0;Occitanie;1
travaux_voirie;2;Travaux de voirie;60000000.0;Occitanie;1
travaux_voirie;3;Relevé du patrimoine de voirie et des dégradations de chaussée;;Provence-Alpes-Côte d'Azur;1
travaux_voirie;4;Divers travaux de voirie;230000.0;Hauts-de-France;1
travaux_voirie;5;Travaux de voirie pour la COMUE;1750000.0;Occitanie;1
travaux_voirie;6;Travaux et aménagements de voirie;254226.0;Bourgogne-Franche-Comté;1
travaux_voirie;7;Exécution de divers travaux de voirie;44000.0;Occitanie;1
travaux_voirie;8;Exécution de divers travaux de voirie;44000.0;Occitanie;1
restauration_scolaire;1;CAISSE DES ÉCOLES - Fourniture de mobiliers scolaire, extrascolaire et de restauration scolaire - Accord-cadre à marchés subséquents - Années 2019 à 2021;500000.0;Provence-Alpes-Côte d'Azur;1
restauration_scolaire;2;marché de restauration scolaire;142090.0;Bretagne;1
restauration_scolaire;3;RESTAURATION SCOLAIRE - ALSH - MULTI-ACCUEILS: Lot 01: Repas et goûters pour la restauration scolaire;1037399.0;Nouvelle-Aquitaine;1
restauration_scolaire;4;Restauration scolaire et périscolaire 2023-2024;183710.0;Grand Est;1
restauration_scolaire;5;Restauration scolaire;2880000.0;Île-de-France;1
restauration_scolaire;6;Lot no02 : Gros oeuvre- Aménagements extérieures - Restructuration de la cantine scolaire;118035.5;Auvergne-Rhône-Alpes;0
restauration_scolaire;7;Fourniture de repas et assistance technique pour la restauration scolaire;803457.83;Île-de-France;1
restauration_scolaire;8;Acquisition de matériels pour la restauration scolaire - Lot 2;9850.0;La Réunion;1
espaces_verts;1;Entretien et travaux des espaces verts - Tonte et entretien divers en espaces verts;0.0;Île-de-France;1
espaces_verts;2;Entretien des espaces verts;40000.0;Île-de-France;1
espaces_verts;3;Entretien des espaces verts;40000.0;Provence-Alpes-Côte d'Azur;1
espaces_verts;4;Entretien des espaces verts;70000.0;Hauts-de-France;1
espaces_verts;5;Entretien des Espaces Verts;206000.0;Hauts-de-France;1
espaces_verts;6;Entretien des espaces verts - Lot 01 - ENTRETIEN DES ESPACES VERTS;160000.0;Nouvelle-Aquitaine;1
espaces_verts;7;Entretien des espaces verts municipaux;40000.0;Occitanie;1
espaces_verts;8;Lot 1 Entretien et maintenance des espaces verts;1200000.0;Île-de-France;1
